gene,pearson_r,n_spots
ADTRP,0.13950088226206808,387
PABPC3,0.1394423948922759,387
MGAT4A,0.13909247205889566,387
BAMBI,0.13877831299739427,387
ENY2,0.13873483929914193,387
GSDMB,0.1386432470326633,387
FSD1L,0.13863976864679975,387
ECT2,0.13850252214317502,387
IMPA2,0.13838086978948497,387
TANK,0.1383589861124896,387
RPGR,0.13827521857712188,387
RFX3,0.13813658775867946,387
EVA1A,0.13811050792209043,387
BCL3,0.1380450135939662,387
CXXC5,0.13774424475152322,387
STK35,0.1377221987985471,387
DNMBP,0.13760199265859344,387
FGFR1OP2,0.13757684599746162,387
ZBED5,0.13752929080749057,387
ANPEP,0.13747296747394147,387
SLC6A8,0.1371874985114455,387
LRRC15,0.13703331635612795,387
CXCL6,0.13685657025749673,387
CCDC24,0.1367857932754896,387
VIRMA,0.1367621885237586,387
ALKAL1,0.13676132364957236,387
DHCR7,0.13672517394169215,387
NOB1,0.13644689096319035,387
TRMT6,0.13564207778327086,387
CRYBG2,0.13556276269484407,387
HIRA,0.13532844064925012,387
